"Day Report - All"
Date,25-Aug-2021
"New Leads",7
"Updated Leads",7
PENDING,7
PROSPECT,4
CONTACTED,2
VISITED,3
QUOTED,4
NEGOTIATION,1
"DEAL WON",2
"DEAL LOST",1
REGRETTED,2

"Day Report - Existing Buyer"
Date,25-Aug-2021
"New Leads",5
"Updated Leads",5
PENDING,5
PROSPECT,4
CONTACTED,2
VISITED,2
QUOTED,4
NEGOTIATION,1
"DEAL WON",2
"DEAL LOST",1
REGRETTED,1

"User Wise Day Report on 25-Aug-2021"
User,New,"Stage Wise Count (all/ existing buyer)"
Admin,4,PENDING:4/2|PROSPECT:2/2|QUOTED:2/2|DEALWON:1/1|DEALLOST:1/1|REGRETTED:1/0
"SHASHI ",3,PENDING:3/3|PROSPECT:2/2|CONTACTED:2/2|VISITED:3/2|QUOTED:2/2|NEGOTIATION:1/1|DEALWON:1/1|REGRETTED:1/1
